symbol,date,score,score_bucket,trend_score,trend_bucket,momentum_score,momentum_bucket,volume_score,volume_bucket,risk_score,risk_bucket,sr_score,sr_bucket,formation_score,formation_bucket,entry_price,stop_price,potential_pct,stop_distance_pct,rr_ratio,return_5d,return_10d,return_20d,target_3_outcome,target_3_pnl,target_5_outcome,target_5_pnl,target_8_outcome,target_8_pnl
GARAN,2025-11-21,71,70-79,22,Yüksek,30,Yüksek,0,Düşük,10,Orta,9,Orta,0,Düşük,133.1999969482422,124.8448349936065,4.2792770862127325,6.272644253800001,0.6822126224710294,4.2792770862127325,6.231233665105085,6.6066090490807206,TARGET,3.0,TARGET,5.0,TARGET,8.0
GARAN,2025-11-28,54,<70,22,Yüksek,17,Orta,5,Düşük,10,Orta,0,Düşük,0,Düşük,138.89999389648438,131.4340615181282,1.0079260020103373,5.3750415453007,0.18751966724639524,1.871854728412218,1.0799136543647938,0.35997121812159794,TARGET,3.0,TIMEOUT,0.35997121812159794,TIMEOUT,0.35997121812159794
GARAN,2025-12-05,81,80-89,30,Yüksek,22,Yüksek,10,Orta,10,Orta,2,Düşük,7,Orta,141.5,133.31161178850044,1.76678445229682,5.786846792579192,0.3053103902046395,-0.777389472449205,0.35335689045936397,4.805655866966652,TARGET,3.0,TARGET,5.0,TIMEOUT,4.805655866966652
GARAN,2025-12-12,61,<70,30,Yüksek,10,Düşük,5,Düşük,10,Orta,6,Düşük,0,Düşük,140.39999389648438,132.9208300601246,2.777784419384575,5.327040001065889,0.5214498893998858,1.1396055363758029,-0.7122507432139141,3.7037125591794333,TARGET,3.0,TARGET,5.0,TIMEOUT,3.7037125591794333
GARAN,2025-12-19,71,70-79,30,Yüksek,20,Orta,0,Düşük,15,Yüksek,6,Düşük,0,Düşük,142.0,135.0688933385195,1.619720458984375,4.881061029211619,0.3318377806159063,-1.830990213743398,4.436621867435079,4.577464788732395,TARGET,3.0,TARGET,5.0,TIMEOUT,4.577464788732395
GARAN,2025-12-26,77,70-79,27,Yüksek,10,Düşük,0,Düşük,15,Yüksek,15,Yüksek,10,Orta,139.39999389648438,132.85169714265646,4.017221197064095,4.69748711659955,0.8551851441738725,6.384511868689467,4.447641663194945,8.17791223415609,TARGET,3.0,TARGET,5.0,TARGET,8.0
GARAN,2026-01-05,76,70-79,30,Yüksek,13,Orta,9,Orta,15,Yüksek,6,Düşük,3,Düşük,148.3000030517578,141.4666398479468,1.753196757399355,4.607797075652199,0.3804848018727481,-1.820631755010732,0.13485970608671333,7.956846128748577,STOP,-4.607797075652199,STOP,-4.607797075652199,STOP,-4.607797075652199
GARAN,2026-01-12,79,70-79,30,Yüksek,10,Düşük,5,Düşük,15,Yüksek,12,Orta,7,Orta,145.60000610351562,138.8855004688968,3.7774723691218295,4.611610819470085,0.8191221065692387,1.991753966289396,3.571426325727763,7.967026345094687,TARGET,3.0,TARGET,5.0,TARGET,8.0
GARAN,2026-01-19,92,90-99,30,Yüksek,17,Orta,17,Yüksek,15,Yüksek,6,Düşük,7,Orta,148.5,141.2134688698827,1.7508458609532829,4.906754969775967,0.35682357723952596,1.5488236038773149,7.811451921559344,8.619530674584386,TARGET,3.0,TARGET,5.0,TARGET,8.0
GARAN,2026-01-26,87,80-89,30,Yüksek,22,Yüksek,14,Yüksek,10,Orta,4,Düşük,7,Orta,150.8000030517578,142.76773615815412,1.392566844979307,5.326436824306192,0.2614443559387751,6.1671106522231645,4.244027696927671,5.039781625281587,TARGET,3.0,TARGET,5.0,TARGET,8.0
